"stco","ppt","year"
16019,239.415453656375,2018
16021,221.86081691633,2018
16023,187.964831442396,2018
16025,165.57313857177,2018
16027,88.08371942444,2018
16029,205.05615636632,2018
16031,113.30460055927,2018
16033,206.555682704249,2018
16035,339.344863527789,2018
16037,184.169889538778,2018
16039,96.0129198329202,2018
16041,174.63458314522,2018
16043,303.928637334667,2018
16045,101.531033998238,2018
16047,109.481621668168,2018
16049,346.326543346219,2018
16051,194.021456586262,2018
16053,89.342540391959,2018
16055,188.383701944557,2018
16057,241.292781035053,2018
16059,173.748364843288,2018
16061,310.667743007768,2018
16063,97.9893165902925,2018
16065,297.520154490967,2018
16067,89.0261937128483,2018
16069,257.166016085384,2018
16071,158.615259082173,2018
16073,86.7288998890855,2018
16075,81.221054464042,2018
16077,148.645929273542,2018
16079,341.942219259736,2018
16081,358.310053969231,2018
16083,100.437010289557,2018
16085,250.931617603617,2018
16087,143.839052578937,2018
17001,556.612785454359,2018
17003,678.464147676913,2018
17005,795.057420717094,2018
17007,680.083910811907,2018
17009,597.463591813119,2018
17011,606.962479886388,2018
17013,632.584442612664,2018
17015,724.472691704121,2018
17017,660.95719606159,2018
17019,658.072190388167,2018
17021,782.22257217191,2018
17023,851.508877696995,2018
17025,770.691783818602,2018
